name,type,sponsoring_org,last_updated,registered,iana_url
‏.إختبار‎,test,Internet Assigned Numbers Authority,2013-10-31,2007-10-19,https://www.iana.org/domains/root/db/xn--kgbechtv.html
.テスト,test,Internet Assigned Numbers Authority,2013-10-31,2007-10-19,https://www.iana.org/domains/root/db/xn--zckzah.html
.um,country-code,Not assigned,2008-04-21,2008-04-21,https://www.iana.org/domains/root/db/um.html
‏.امارات‎,country-code,Telecommunications Regulatory Authority (TRA),2011-03-10,2010-05-05,https://www.iana.org/domains/root/db/xn--mgbaam7a8h.html
‏.السعودية‎,country-code,Communications and Information Technology Commission,2016-06-20,2010-05-05,https://www.iana.org/domains/root/db/xn--mgberp4a5d4ar.html
‏.مصر‎,country-code,National Telecommunication Regulatory Authority - NTRA,2015-05-29,2010-05-05,https://www.iana.org/domains/root/db/xn--wgbh1c.html
.рф,country-code,Coordination Center for TLD RU,2015-12-07,2010-05-12,https://www.iana.org/domains/root/db/xn--p1ai.html
.中国,country-code,China Internet Network Information Center (CNNIC),2015-06-19,2010-07-09,https://www.iana.org/domains/root/db/xn--fiqs8s.html
.中國,country-code,China Internet Network Information Center (CNNIC),2015-06-19,2010-07-09,https://www.iana.org/domains/root/db/xn--fiqz9s.html
.香港,country-code,Hong Kong Internet Registration Corporation Ltd.,2016-03-01,2010-07-12,https://www.iana.org/domains/root/db/xn--j6w193g.html
.台湾,country-code,Taiwan Network Information Center (TWNIC),2012-02-22,2010-07-14,https://www.iana.org/domains/root/db/xn--kprw13d.html
.台灣,country-code,Taiwan Network Information Center (TWNIC),2012-02-22,2010-07-14,https://www.iana.org/domains/root/db/xn--kpry57d.html
.ලංකා,country-code,LK Domain Registry,2011-09-22,2010-08-19,https://www.iana.org/domains/root/db/xn--fzc2c9e2c.html
.ไทย,country-code,Thai Network Information Center Foundation,2016-02-13,2010-08-19,https://www.iana.org/domains/root/db/xn--o3cw4h.html
‏.تونس‎,country-code,Agence Tunisienne d'Internet,2015-03-26,2010-08-19,https://www.iana.org/domains/root/db/xn--pgbs0dh.html
.இலங்கை,country-code,LK Domain Registry,2011-09-22,2010-08-19,https://www.iana.org/domains/root/db/xn--xkc2al3hye2a.html
‏.الاردن‎,country-code,National Information Technology Center (NITC),2016-03-14,2010-08-20,https://www.iana.org/domains/root/db/xn--mgbayh7gpa.html
‏.فلسطين‎,country-code,Ministry of Telecom & Information Technology (MTIT),2010-08-31,2010-08-20,https://www.iana.org/domains/root/db/xn--ygbi2ammx.html
.bq,country-code,Not assigned,2010-12-20,2010-12-20,https://www.iana.org/domains/root/db/bq.html
.cw,country-code,University of Curacao,2014-10-20,2010-12-20,https://www.iana.org/domains/root/db/cw.html
.sx,country-code,SX Registry SA B.V.,2013-07-02,2010-12-20,https://www.iana.org/domains/root/db/sx.html
‏.قطر‎,country-code,Communications Regulatory Authority,2016-05-16,2010-12-24,https://www.iana.org/domains/root/db/xn--wgbl6a.html
.한국,country-code,KISA (Korea Internet & Security Agency),2014-01-13,2011-02-05,https://www.iana.org/domains/root/db/xn--3e0b707e.html
.ভারত,country-code,National Internet Exchange of India,2015-01-06,2011-02-05,https://www.iana.org/domains/root/db/xn--45brj9c.html
